name,link,year,month
Detenuti presenti - aggiornamento al 30 novembre 2021,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST357663&previsiousPage=mg_1_14,2021,11
Detenuti presenti - aggiornamento al 31 dicembre 2021,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?facetNode_1=0_2&facetNode_2=0_2_10&facetNode_3=1_5_44&contentId=SST360929&previsiousPage=mg_1_14,2021,12
Detenuti presenti - aggiornamento al 31 gennaio 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST365654,2022,1
Detenuti presenti - aggiornamento al 28 febbraio 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST369452,2022,2
Detenuti presenti - aggiornamento al 31 marzo 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST374273,2022,3
Detenuti presenti - aggiornamento al 30 aprile 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST378226,2022,4
Detenuti presenti - aggiornamento al 31 maggio 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST382370,2022,5
Detenuti presenti - aggiornamento al 30 giugno 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST386405,2022,6
Detenuti presenti - aggiornamento al 31 luglio 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST390152,2022,7
Detenuti presenti - aggiornamento al 31 agosto 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST393945,2022,8
Detenuti presenti - aggiornamento al 30 settembre 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST398010,2022,9
Detenuti presenti - aggiornamento al 31 ottobre 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST401332,2022,10
Detenuti presenti - aggiornamento al 30 novembre 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST405707,2022,11
Detenuti presenti - aggiornamento al 31 dicembre 2022,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST410260&previsiousPage=mg_1_14,2022,12
Detenuti presenti - aggiornamento al 31 gennaio 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST414661&previsiousPage=mg_1_14,2023,1
Detenuti presenti - aggiornamento al 28 febbraio 2023,https://www.giustizia.it/giustizia/it/mg_1_14_1.page?contentId=SST418758,2023,2
