,Region,Capacity,Present,Date
131,PIEMONTE,3.976,4.380,2018-07-31
132,PUGLIA,2.322,3.538,2018-07-31
133,SARDEGNA,2.713,2.235,2018-07-31
134,SICILIA,6.471,6.359,2018-07-31
135,TOSCANA,3.146,3.337,2018-07-31
136,TRENTINO ALTO ADIGE,506,412,2018-07-31
137,UMBRIA,1.331,1.390,2018-07-31
138,VALLE D'AOSTA,181,228,2018-07-31
139,VENETO,1.946,2.337,2018-07-31
140,ABRUZZO,1.640,1.960,2018-08-31
141,BASILICATA,413,570,2018-08-31
142,CALABRIA,2.734,2.698,2018-08-31
143,CAMPANIA,6.161,7.477,2018-08-31
144,EMILIA ROMAGNA,2.806,3.576,2018-08-31
145,FRIULI VENEZIA GIULIA,480,629,2018-08-31
146,LAZIO,5.270,6.400,2018-08-31
147,LIGURIA,1.128,1.489,2018-08-31
148,LOMBARDIA,6.226,8.440,2018-08-31
149,MARCHE,898,940,2018-08-31
150,MOLISE,270,393,2018-08-31
151,PIEMONTE,3.976,4.445,2018-08-31
152,PUGLIA,2.322,3.611,2018-08-31
153,SARDEGNA,2.713,2.257,2018-08-31
154,SICILIA,6.475,6.400,2018-08-31
155,TOSCANA,3.146,3.386,2018-08-31
156,TRENTINO ALTO ADIGE,506,430,2018-08-31
157,UMBRIA,1.331,1.400,2018-08-31
158,VALLE D'AOSTA,181,229,2018-08-31
159,VENETO,1.946,2.405,2018-08-31
160,ABRUZZO,1.640,1.950,2018-09-30
161,BASILICATA,413,564,2018-09-30
162,CALABRIA,2.734,2.752,2018-09-30
163,CAMPANIA,6.163,7.515,2018-09-30
164,EMILIA ROMAGNA,2.805,3.584,2018-09-30
165,FRIULI VENEZIA GIULIA,480,635,2018-09-30
166,LAZIO,5.270,6.375,2018-09-30
167,LIGURIA,1.128,1.481,2018-09-30
168,LOMBARDIA,6.226,8.439,2018-09-30
169,MARCHE,897,938,2018-09-30
170,MOLISE,270,408,2018-09-30
171,PIEMONTE,3.976,4.432,2018-09-30
172,PUGLIA,2.322,3.689,2018-09-30
173,SARDEGNA,2.700,2.216,2018-09-30
174,SICILIA,6.485,6.413,2018-09-30
175,TOSCANA,3.146,3.432,2018-09-30
176,TRENTINO ALTO ADIGE,506,417,2018-09-30
177,UMBRIA,1.334,1.409,2018-09-30
178,VALLE D'AOSTA,181,223,2018-09-30
179,VENETO,1.946,2.403,2018-09-30
180,ABRUZZO,1.640,1.950,2018-10-31
181,BASILICATA,413,560,2018-10-31
182,CALABRIA,2.734,2.787,2018-10-31
183,CAMPANIA,6.142,7.627,2018-10-31
184,EMILIA ROMAGNA,2.805,3.645,2018-10-31
185,FRIULI VENEZIA GIULIA,480,625,2018-10-31
186,LAZIO,5.270,6.492,2018-10-31
187,LIGURIA,1.128,1.508,2018-10-31
188,LOMBARDIA,6.223,8.507,2018-10-31
189,MARCHE,897,934,2018-10-31
190,MOLISE,270,385,2018-10-31
191,PIEMONTE,3.976,4.455,2018-10-31
192,PUGLIA,2.322,3.732,2018-10-31
193,SARDEGNA,2.700,2.212,2018-10-31
194,SICILIA,6.503,6.512,2018-10-31
195,TOSCANA,3.146,3.372,2018-10-31
196,TRENTINO ALTO ADIGE,506,441,2018-10-31
197,UMBRIA,1.334,1.432,2018-10-31
198,VALLE D'AOSTA,181,223,2018-10-31
199,VENETO,1.946,2.404,2018-10-31
200,ABRUZZO,1.640,1.974,2018-11-30
201,BASILICATA,413,560,2018-11-30
202,CALABRIA,2.734,2.822,2018-11-30
203,CAMPANIA,6.142,7.699,2018-11-30
204,EMILIA ROMAGNA,2.805,3.569,2018-11-30
205,FRIULI VENEZIA GIULIA,480,630,2018-11-30
206,LAZIO,5.259,6.517,2018-11-30
207,LIGURIA,1.128,1.512,2018-11-30
208,LOMBARDIA,6.223,8.546,2018-11-30
209,MARCHE,897,949,2018-11-30
210,MOLISE,270,381,2018-11-30
211,PIEMONTE,3.976,4.483,2018-11-30
212,PUGLIA,2.322,3.731,2018-11-30
213,SARDEGNA,2.706,2.204,2018-11-30
214,SICILIA,6.499,6.538,2018-11-30
215,TOSCANA,3.146,3.406,2018-11-30
216,TRENTINO ALTO ADIGE,506,455,2018-11-30
217,UMBRIA,1.334,1.400,2018-11-30
218,VALLE D'AOSTA,181,223,2018-11-30
219,VENETO,1.922,2.403,2018-11-30
220,ABRUZZO,1.640,1.973,2018-12-31
221,BASILICATA,413,559,2018-12-31
222,CALABRIA,2.734,2.805,2018-12-31
223,CAMPANIA,6.142,7.660,2018-12-31
224,EMILIA ROMAGNA,2.805,3.554,2018-12-31
225,FRIULI VENEZIA GIULIA,480,641,2018-12-31
226,LAZIO,5.256,6.534,2018-12-31
227,LIGURIA,1.128,1.474,2018-12-31
228,LOMBARDIA,6.226,8.494,2018-12-31
229,MARCHE,897,929,2018-12-31
230,MOLISE,270,387,2018-12-31
231,PIEMONTE,3.976,4.478,2018-12-31
232,PUGLIA,2.322,3.646,2018-12-31
233,SARDEGNA,2.706,2.159,2018-12-31
