Date,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA ROMAGNA,FRIULI VENEZIA GIULIA,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO ALTO ADIGE,UMBRIA,VALLE D'AOSTA,VENETO
2018-01-31,0.16666666666666652,0.2764423076923077,-0.023333333333333428,0.1882811231942867,0.23194592671647096,0.4125000000000001,0.20311905667554186,0.25491949910554546,0.36957918406681656,0.04008908685968815,0.5795454545454546,0.06592853548062405,0.4582798459563542,-0.13896056026538894,-0.007294738475865259,0.050874403815580393,-0.17391304347826086,0.04132231404958664,0.03867403314917128,0.18181818181818188
2018-02-28,0.14850882531953746,0.2615012106537531,-0.0185185185185186,0.19545454545454533,0.2323016720028459,0.4291666666666667,0.1917443408788282,0.2708883025505717,0.37166720205589443,0.05122494432071267,0.5909090909090908,0.05057876195269251,0.48438168592212216,-0.1411721341688168,-0.010516548097742162,0.054372019077901346,-0.19367588932806323,0.03981968444778361,-0.027624309392265234,0.192090395480226
2018-03-31,0.15824710894704808,0.2251815980629539,-0.027432333577176338,0.1923076923076923,0.22198505869797236,0.40625,0.19897279817386337,0.2692648361381753,0.37712817218117567,0.014476614699331813,0.6007604562737643,0.0691823899371069,0.48990983254615705,-0.1385919646148175,-0.02302936630602781,0.05278219395866457,-0.18972332015810278,0.06235912847483083,0.11049723756906071,0.2028762198253724
2018-04-30,0.16494217894096153,0.23970944309927367,-0.032918800292611516,0.20285621551444333,0.2379935965848452,0.3374999999999999,0.21038615179760334,0.27635075287865374,0.3623514294892385,0.00111358574610243,0.6007604562737643,0.07748427672955982,0.494203520824388,-0.14964983413195732,-0.025324274243360034,0.06804451510333864,-0.20158102766798414,0.04507888805409466,0.11602209944751385,0.20030816640986138
2018-05-31,0.14729153986609855,0.23244552058111378,-0.009875640087783522,0.21652329167342965,0.25712250712250717,0.35416666666666674,0.2078907435508346,0.2772364924712134,0.37327336973980096,0.00445434298440972,0.5629629629629629,0.08836858006042303,0.5198105081826012,-0.16771102100995205,-0.02382425742574268,0.06359300476947549,-0.1758893280632411,0.04357625845229163,0.18784530386740328,0.19311761684643036
2018-06-30,0.16494217894096153,0.2905569007263922,0.014996342355523051,0.2106800844018828,0.2678062678062678,0.30833333333333335,0.21404174573055035,0.2887511071744908,0.36524253132026985,0.0,0.548148148148148,0.09502262443438902,0.540913006029285,-0.1713969775156653,-0.01544163063619508,0.05944055944055959,-0.17786561264822132,0.02854996243426,0.24861878453038666,0.1910631741140214
2018-07-31,0.18198417528910515,0.3365617433414043,0.006949524506218108,0.20272683006005532,0.2592592592592593,0.2979166666666666,0.198102466793169,0.2887511071744908,0.3442017346610986,0.027839643652561197,0.5296296296296297,0.10160965794768617,0.5236864771748491,-0.17618872097309257,-0.017307989491577858,0.06071201525746983,-0.18577075098814233,0.04432757325319314,0.2596685082872927,0.20092497430626932
2018-08-31,0.19512195121951215,0.38014527845036317,-0.013167520117044584,0.21360168803765633,0.27441197434069853,0.31041666666666656,0.21442125237191667,0.3200354609929079,0.35560552521683264,0.04677060133630295,0.4555555555555555,0.11795774647887325,0.5551248923341947,-0.1680796166605234,-0.011583011583011449,0.07628734901462186,-0.15019762845849804,0.05184072126220873,0.26519337016574585,0.23586844809866392
2018-09-30,0.18902439024390238,0.3656174334140436,0.006583760058522126,0.21937368164854765,0.27771836007130113,0.32291666666666674,0.20967741935483875,0.31294326241134773,0.3554449084484421,0.04570791527313256,0.5111111111111111,0.11468812877263601,0.5887166236003445,-0.17925925925925923,-0.011102544333076336,0.09090909090909083,-0.1758893280632411,0.05622188905547221,0.2320441988950277,0.23484069886947578
2018-10-31,0.18902439024390238,0.35593220338983045,0.019385515727871283,0.24177792250081387,0.2994652406417111,0.30208333333333326,0.23187855787476286,0.3368794326241136,0.3670255503776314,0.04124860646599782,0.4259259259259258,0.12047283702213285,0.6072351421188631,-0.18074074074074076,0.0013839766261725117,0.07183725365543547,-0.12845849802371545,0.07346326836581696,0.2320441988950277,0.23535457348406985
2018-11-30,0.2036585365853658,0.35593220338983045,0.03218727139722022,0.2535004884402474,0.2723707664884134,0.3125,0.23920897509032124,0.34042553191489366,0.3732926241362686,0.05797101449275366,0.4111111111111112,0.12751509054325938,0.606804478897502,-0.1855136733185513,0.006000923218956844,0.08264462809917372,-0.10079051383399207,0.0494752623688155,0.2320441988950277,0.25026014568158184
2018-12-31,0.20304878048780495,0.35351089588377715,0.02596927578639363,0.24715076522305424,0.2670231729055257,0.3354166666666667,0.24315068493150682,0.30673758865248235,0.36427883070992606,0.035674470457079055,0.43333333333333335,0.1262575452716297,0.5701981050818259,-0.20214338507021434,-0.004309681391411302,0.08264462809917372,-0.20948616600790515,0.07271364317841078,0.22099447513812165,0.26690946930280957
2019-01-31,0.1979102642901045,0.2590799031476998,0.06144842721287502,0.26948157808933804,0.2723707664884134,0.35624999999999996,0.2514263978699125,0.30673758865248235,0.37166720205589443,0.047937569676700154,0.39629629629629637,0.12952716297786715,0.6032772746873654,-0.2054693274205469,0.009240720776220401,0.07819453273998733,-0.23715415019762842,0.08352144469525968,0.2541436464088398,0.289802289281998
