Regione,Capienza regolamentare,Detenuti presenti (totale),Data
BASILICATA,407,387,2020-08-31
CALABRIA,2.710,2.603,2020-08-31
CAMPANIA,6.050,6.422,2020-08-31
EMILIA ROMAGNA,2.995,3.071,2020-08-31
FRIULI VENEZIA GIULIA,464,612,2020-08-31
LAZIO,5.213,5.803,2020-08-31
LIGURIA,1.120,1.443,2020-08-31
LOMBARDIA,6.156,7.569,2020-08-31
MARCHE,846,875,2020-08-31
MOLISE,268,372,2020-08-31
PIEMONTE,3.938,4.235,2020-08-31
PUGLIA,2.683,3.463,2020-08-31
SARDEGNA,2.611,2.051,2020-08-31
SICILIA,6.446,5.816,2020-08-31
TOSCANA,3.100,3.229,2020-08-31
TRENTINO ALTO ADIGE,497,392,2020-08-31
UMBRIA,1.323,1.361,2020-08-31
VALLE D'AOSTA,177,178,2020-08-31
VENETO,1.915,2.286,2020-08-31
ABRUZZO,1.655,1.754,2020-09-30
BASILICATA,401,372,2020-09-30
CALABRIA,2.712,2.602,2020-09-30
CAMPANIA,6.062,6.475,2020-09-30
EMILIA ROMAGNA,2.995,3.134,2020-09-30
FRIULI VENEZIA GIULIA,464,632,2020-09-30
LAZIO,5.213,5.786,2020-09-30
LIGURIA,1.120,1.445,2020-09-30
LOMBARDIA,6.156,7.667,2020-09-30
MARCHE,846,834,2020-09-30
MOLISE,268,373,2020-09-30
PIEMONTE,3.938,4.293,2020-09-30
PUGLIA,2.688,3.503,2020-09-30
SARDEGNA,2.611,2.047,2020-09-30
SICILIA,6.441,5.905,2020-09-30
TOSCANA,3.101,3.247,2020-09-30
TRENTINO ALTO ADIGE,497,399,2020-09-30
UMBRIA,1.323,1.350,2020-09-30
VALLE D'AOSTA,177,188,2020-09-30
VENETO,1.902,2.271,2020-09-30
ABRUZZO,1.658,1.742,2020-10-31
BASILICATA,401,390,2020-10-31
CALABRIA,2.712,2.573,2020-10-31
CAMPANIA,6.052,6.648,2020-10-31
EMILIA ROMAGNA,2.995,3.190,2020-10-31
FRIULI VENEZIA GIULIA,464,631,2020-10-31
LAZIO,5.217,5.839,2020-10-31
LIGURIA,1.120,1.439,2020-10-31
LOMBARDIA,6.156,7.751,2020-10-31
MARCHE,846,855,2020-10-31
MOLISE,268,380,2020-10-31
PIEMONTE,3.918,4.289,2020-10-31
PUGLIA,2.686,3.622,2020-10-31
SARDEGNA,2.609,2.071,2020-10-31
SICILIA,6.449,5.895,2020-10-31
TOSCANA,3.101,3.273,2020-10-31
TRENTINO ALTO ADIGE,498,411,2020-10-31
UMBRIA,1.323,1.362,2020-10-31
VALLE D'AOSTA,177,186,2020-10-31
VENETO,1.903,2.321,2020-10-31
ABRUZZO,1.658,1.721,2020-11-30
BASILICATA,401,407,2020-11-30
CALABRIA,2.713,2.515,2020-11-30
CAMPANIA,6.052,6.548,2020-11-30
EMILIA ROMAGNA,2.993,3.176,2020-11-30
FRIULI VENEZIA GIULIA,464,626,2020-11-30
LAZIO,5.230,5.810,2020-11-30
LIGURIA,1.120,1.433,2020-11-30
LOMBARDIA,6.154,7.715,2020-11-30
MARCHE,846,843,2020-11-30
MOLISE,271,375,2020-11-30
PIEMONTE,3.918,4.254,2020-11-30
PUGLIA,2.686,3.560,2020-11-30
SARDEGNA,2.609,2.058,2020-11-30
SICILIA,6.449,5.883,2020-11-30
TOSCANA,3.098,3.248,2020-11-30
TRENTINO ALTO ADIGE,498,385,2020-11-30
UMBRIA,1.323,1.348,2020-11-30
VALLE D'AOSTA,177,169,2020-11-30
VENETO,1.908,2.294,2020-11-30
ABRUZZO,1.658,1.659,2020-12-31
BASILICATA,401,399,2020-12-31
CALABRIA,2.713,2.447,2020-12-31
CAMPANIA,6.052,6.403,2020-12-31
EMILIA ROMAGNA,2.993,3.139,2020-12-31
FRIULI VENEZIA GIULIA,466,600,2020-12-31
LAZIO,5.230,5.816,2020-12-31
LIGURIA,1.120,1.352,2020-12-31
LOMBARDIA,6.143,7.602,2020-12-31
MARCHE,846,847,2020-12-31
MOLISE,271,351,2020-12-31
PIEMONTE,3.918,4.175,2020-12-31
PUGLIA,2.686,3.501,2020-12-31
SARDEGNA,2.609,2.010,2020-12-31
SICILIA,6.449,5.733,2020-12-31
TOSCANA,3.100,3.204,2020-12-31
TRENTINO ALTO ADIGE,498,388,2020-12-31
UMBRIA,1.324,1.284,2020-12-31
VALLE D'AOSTA,177,172,2020-12-31
VENETO,1.908,2.282,2020-12-31
ABRUZZO,1.658,1.641,2021-01-31
BASILICATA,401,402,2021-01-31
CALABRIA,2.704,2.457,2021-01-31
CAMPANIA,6.052,6.417,2021-01-31
EMILIA ROMAGNA,2.993,3.194,2021-01-31
FRIULI VENEZIA GIULIA,467,621,2021-01-31
LAZIO,5.230,5.759,2021-01-31
LIGURIA,1.120,1.316,2021-01-31
LOMBARDIA,6.143,7.645,2021-01-31
MARCHE,846,832,2021-01-31
MOLISE,271,346,2021-01-31
PIEMONTE,3.919,4.178,2021-01-31
PUGLIA,2.686,3.514,2021-01-31
SARDEGNA,2.609,2.010,2021-01-31
SICILIA,6.447,5.727,2021-01-31
TOSCANA,3.098,3.159,2021-01-31
TRENTINO ALTO ADIGE,498,385,2021-01-31
UMBRIA,1.324,1.292,2021-01-31
VALLE D'AOSTA,177,164,2021-01-31
VENETO,1.908,2.270,2021-01-31
ABRUZZO,1.658,1.622,2021-02-28
BASILICATA,401,390,2021-02-28
CALABRIA,2.704,2.520,2021-02-28
CAMPANIA,6.054,6.519,2021-02-28
EMILIA ROMAGNA,2.993,3.270,2021-02-28
FRIULI VENEZIA GIULIA,467,637,2021-02-28
LAZIO,5.230,5.692,2021-02-28
LIGURIA,1.120,1.318,2021-02-28
LOMBARDIA,6.143,7.766,2021-02-28
MARCHE,846,857,2021-02-28
MOLISE,271,344,2021-02-28
PIEMONTE,3.918,4.144,2021-02-28
PUGLIA,2.686,3.538,2021-02-28
SARDEGNA,2.609,2.019,2021-02-28
SICILIA,6.447,5.793,2021-02-28
TOSCANA,3.098,3.124,2021-02-28
TRENTINO ALTO ADIGE,498,379,2021-02-28
UMBRIA,1.324,1.301,2021-02-28
VALLE D'AOSTA,177,172,2021-02-28
VENETO,1.907,2.292,2021-02-28
ABRUZZO,1.658,1.638,2021-03-31
BASILICATA,401,395,2021-03-31
CALABRIA,2.704,2.543,2021-03-31
CAMPANIA,6.085,6.458,2021-03-31
EMILIA ROMAGNA,2.992,3.276,2021-03-31
FRIULI VENEZIA GIULIA,467,639,2021-03-31
LAZIO,5.230,5.644,2021-03-31
LIGURIA,1.120,1.309,2021-03-31
LOMBARDIA,6.146,7.751,2021-03-31
MARCHE,846,830,2021-03-31
MOLISE,271,343,2021-03-31
PIEMONTE,3.918,4.144,2021-03-31
PUGLIA,2.882,3.543,2021-03-31
SARDEGNA,2.609,2.020,2021-03-31
SICILIA,6.447,5.755,2021-03-31
TOSCANA,3.097,3.094,2021-03-31
TRENTINO ALTO ADIGE,498,396,2021-03-31
UMBRIA,1.324,1.287,2021-03-31
VALLE D'AOSTA,177,172,2021-03-31
VENETO,1.907,2.272,2021-03-31
ABRUZZO,1.658,1.648,2021-04-30
BASILICATA,401,376,2021-04-30
CALABRIA,2.704,2.567,2021-04-30
CAMPANIA,6.087,6.554,2021-04-30
EMILIA ROMAGNA,2.993,3.277,2021-04-30
FRIULI VENEZIA GIULIA,467,648,2021-04-30
LAZIO,5.230,5.587,2021-04-30
LIGURIA,1.120,1.310,2021-04-30
LOMBARDIA,6.146,7.787,2021-04-30
MARCHE,846,849,2021-04-30
MOLISE,271,339,2021-04-30
PIEMONTE,3.918,4.119,2021-04-30
PUGLIA,2.882,3.585,2021-04-30
SARDEGNA,2.606,1.980,2021-04-30
SICILIA,6.447,5.738,2021-04-30
TOSCANA,3.097,3.075,2021-04-30
TRENTINO ALTO ADIGE,498,407,2021-04-30
UMBRIA,1.330,1.306,2021-04-30
VALLE D'AOSTA,177,164,2021-04-30
VENETO,1.907,2.292,2021-04-30
ABRUZZO,1.658,1.635,2021-05-31
BASILICATA,401,370,2021-05-31
CALABRIA,2.704,2.572,2021-05-31
CAMPANIA,6.084,6.554,2021-05-31
EMILIA ROMAGNA,2.996,3.241,2021-05-31
FRIULI VENEZIA GIULIA,467,631,2021-05-31
LAZIO,5.230,5.584,2021-05-31
LIGURIA,1.127,1.331,2021-05-31
LOMBARDIA,6.139,7.777,2021-05-31
MARCHE,846,839,2021-05-31
MOLISE,271,333,2021-05-31
PIEMONTE,3.917,4.046,2021-05-31
PUGLIA,2.882,3.688,2021-05-31
SARDEGNA,2.606,1.969,2021-05-31
SICILIA,6.443,5.817,2021-05-31
TOSCANA,3.097,3.090,2021-05-31
TRENTINO ALTO ADIGE,498,415,2021-05-31
UMBRIA,1.330,1.326,2021-05-31
VALLE D'AOSTA,177,157,2021-05-31
VENETO,1.907,2.285,2021-05-31
ABRUZZO,1.658,1.659,2021-06-30
BASILICATA,401,366,2021-06-30
CALABRIA,2.704,2.617,2021-06-30
CAMPANIA,6.084,6.533,2021-06-30
EMILIA ROMAGNA,2.996,3.250,2021-06-30
FRIULI VENEZIA GIULIA,467,617,2021-06-30
LAZIO,5.230,5.599,2021-06-30
LIGURIA,1.125,1.333,2021-06-30
LOMBARDIA,6.139,7.745,2021-06-30
MARCHE,846,840,2021-06-30
MOLISE,271,334,2021-06-30
PIEMONTE,3.917,4.009,2021-06-30
PUGLIA,2.882,3.679,2021-06-30
SARDEGNA,2.606,1.963,2021-06-30
SICILIA,6.443,5.817,2021-06-30
TOSCANA,3.098,3.076,2021-06-30
TRENTINO ALTO ADIGE,498,416,2021-06-30
UMBRIA,1.330,1.337,2021-06-30
VALLE D'AOSTA,177,149,2021-06-30
VENETO,1.907,2.298,2021-06-30
ABRUZZO,1.656,1.661,2021-07-31
BASILICATA,401,358,2021-07-31
CALABRIA,2.704,2.604,2021-07-31
CAMPANIA,6.107,6.413,2021-07-31
EMILIA ROMAGNA,2.996,3.192,2021-07-31
FRIULI VENEZIA GIULIA,467,624,2021-07-31
LAZIO,5.239,5.544,2021-07-31
LIGURIA,1.125,1.328,2021-07-31
LOMBARDIA,6.139,7.623,2021-07-31
MARCHE,846,819,2021-07-31
MOLISE,271,333,2021-07-31
PIEMONTE,3.955,3.960,2021-07-31
PUGLIA,2.890,3.662,2021-07-31
SARDEGNA,2.605,1.925,2021-07-31
SICILIA,6.443,5.891,2021-07-31
TOSCANA,3.117,3.032,2021-07-31
TRENTINO ALTO ADIGE,498,408,2021-07-31
UMBRIA,1.334,1.346,2021-07-31
VALLE D'AOSTA,177,140,2021-07-31
VENETO,1.907,2.266,2021-07-31
ABRUZZO,1.656,1.693,2021-08-31
BASILICATA,399,357,2021-08-31
CALABRIA,2.704,2.617,2021-08-31
CAMPANIA,6.108,6.432,2021-08-31
EMILIA ROMAGNA,2.996,3.224,2021-08-31
FRIULI VENEZIA GIULIA,467,644,2021-08-31
LAZIO,5.231,5.583,2021-08-31
LIGURIA,1.125,1.345,2021-08-31
LOMBARDIA,6.139,7.736,2021-08-31
MARCHE,846,833,2021-08-31
MOLISE,271,336,2021-08-31
PIEMONTE,3.955,4.002,2021-08-31
PUGLIA,2.888,3.708,2021-08-31
SARDEGNA,2.605,1.961,2021-08-31
SICILIA,6.443,5.888,2021-08-31
TOSCANA,3.117,3.041,2021-08-31
TRENTINO ALTO ADIGE,498,404,2021-08-31
UMBRIA,1.335,1.366,2021-08-31
VALLE D'AOSTA,177,141,2021-08-31
VENETO,1.907,2.246,2021-08-31
ABRUZZO,1.656,1.705,2021-09-30
BASILICATA,399,358,2021-09-30
CALABRIA,2.703,2.635,2021-09-30
CAMPANIA,6.101,6.547,2021-09-30
EMILIA ROMAGNA,2.998,3.281,2021-09-30
FRIULI VENEZIA GIULIA,463,646,2021-09-30
LAZIO,5.231,5.580,2021-09-30
LIGURIA,1.125,1.355,2021-09-30
LOMBARDIA,6.139,7.763,2021-09-30
MARCHE,846,823,2021-09-30
MOLISE,271,319,2021-09-30
PIEMONTE,3.955,4.011,2021-09-30
PUGLIA,2.888,3.716,2021-09-30
SARDEGNA,2.605,1.985,2021-09-30
SICILIA,6.443,5.934,2021-09-30
TOSCANA,3.117,3.077,2021-09-30
TRENTINO ALTO ADIGE,498,415,2021-09-30
UMBRIA,1.335,1.377,2021-09-30
VALLE D'AOSTA,177,134,2021-09-30
VENETO,1.907,2.269,2021-09-30
ABRUZZO,1.656,1.716,2021-10-31
BASILICATA,399,367,2021-10-31
CALABRIA,2.703,2.691,2021-10-31
CAMPANIA,6.106,6.668,2021-10-31
EMILIA ROMAGNA,2.998,3.284,2021-10-31
FRIULI VENEZIA GIULIA,463,627,2021-10-31
LAZIO,5.231,5.610,2021-10-31
LIGURIA,1.109,1.343,2021-10-31
LOMBARDIA,6.139,7.797,2021-10-31
MARCHE,846,833,2021-10-31
MOLISE,271,317,2021-10-31
PIEMONTE,3.955,4.080,2021-10-31
PUGLIA,2.888,3.741,2021-10-31
SARDEGNA,2.605,1.988,2021-10-31
SICILIA,6.448,5.934,2021-10-31
TOSCANA,3.117,3.081,2021-10-31
TRENTINO ALTO ADIGE,498,413,2021-10-31
UMBRIA,1.335,1.425,2021-10-31
VALLE D'AOSTA,177,128,2021-10-31
VENETO,1.907,2.264,2021-10-31
ABRUZZO,1.656,1.747,2021-11-30
BASILICATA,399,382,2021-11-30
CALABRIA,2.704,2.704,2021-11-30
CAMPANIA,6.108,6.730,2021-11-30
EMILIA ROMAGNA,2.998,3.303,2021-11-30
FRIULI VENEZIA GIULIA,463,621,2021-11-30
LAZIO,5.231,5.569,2021-11-30
LIGURIA,1.109,1.337,2021-11-30
LOMBARDIA,6.129,7.869,2021-11-30
MARCHE,846,830,2021-11-30
MOLISE,271,313,2021-11-30
PIEMONTE,3.955,4.072,2021-11-30
PUGLIA,2.882,3.791,2021-11-30
SARDEGNA,2.575,1.989,2021-11-30
SICILIA,6.449,6.002,2021-11-30
TOSCANA,3.117,3.079,2021-11-30
TRENTINO ALTO ADIGE,498,403,2021-11-30
UMBRIA,1.335,1.432,2021-11-30
VALLE D'AOSTA,177,142,2021-11-30
VENETO,1.907,2.278,2021-11-30
ABRUZZO,1.656,1.735,2021-12-31
BASILICATA,399,376,2021-12-31
CALABRIA,2.704,2.681,2021-12-31
CAMPANIA,6.114,6.674,2021-12-31
EMILIA ROMAGNA,2.998,3.261,2021-12-31
FRIULI VENEZIA GIULIA,463,580,2021-12-31
LAZIO,5.231,5.548,2021-12-31
LIGURIA,1.109,1.307,2021-12-31
LOMBARDIA,6.129,7.838,2021-12-31
MARCHE,846,846,2021-12-31
MOLISE,271,312,2021-12-31
PIEMONTE,3.951,4.027,2021-12-31
PUGLIA,2.907,3.760,2021-12-31
SARDEGNA,2.575,1.968,2021-12-31
SICILIA,6.448,5.958,2021-12-31
TOSCANA,3.117,3.028,2021-12-31
TRENTINO ALTO ADIGE,498,416,2021-12-31
UMBRIA,1.335,1.398,2021-12-31
VALLE D'AOSTA,177,138,2021-12-31
VENETO,1.907,2.283,2021-12-31
ABRUZZO,1.656,1.731,2022-01-31
BASILICATA,397,364,2022-01-31
CALABRIA,2.704,2.662,2022-01-31
CAMPANIA,6.113,6.702,2022-01-31
EMILIA ROMAGNA,2.998,3.314,2022-01-31
FRIULI VENEZIA GIULIA,463,587,2022-01-31
LAZIO,5.231,5.555,2022-01-31
LIGURIA,1.109,1.308,2022-01-31
LOMBARDIA,6.146,7.898,2022-01-31
MARCHE,846,841,2022-01-31
MOLISE,271,314,2022-01-31
PIEMONTE,3.951,4.046,2022-01-31
PUGLIA,2.907,3.833,2022-01-31
SARDEGNA,2.575,2.000,2022-01-31
SICILIA,6.448,5.972,2022-01-31
TOSCANA,3.117,3.014,2022-01-31
TRENTINO ALTO ADIGE,498,411,2022-01-31
UMBRIA,1.335,1.390,2022-01-31
VALLE D'AOSTA,177,140,2022-01-31
VENETO,1.920,2.290,2022-01-31
ABRUZZO,1.656,1.719,2022-02-28
BASILICATA,412,384,2022-02-28
CALABRIA,2.704,2.666,2022-02-28
CAMPANIA,6.113,6.743,2022-02-28
EMILIA ROMAGNA,2.998,3.291,2022-02-28
FRIULI VENEZIA GIULIA,463,590,2022-02-28
LAZIO,5.231,5.588,2022-02-28
LIGURIA,1.109,1.320,2022-02-28
LOMBARDIA,6.150,7.931,2022-02-28
MARCHE,823,836,2022-02-28
MOLISE,271,317,2022-02-28
PIEMONTE,3.951,3.986,2022-02-28
PUGLIA,2.907,3.904,2022-02-28
SARDEGNA,2.575,2.019,2022-02-28
SICILIA,6.444,6.112,2022-02-28
TOSCANA,3.118,3.025,2022-02-28
TRENTINO ALTO ADIGE,498,403,2022-02-28
UMBRIA,1.336,1.377,2022-02-28
VALLE D'AOSTA,177,142,2022-02-28
VENETO,1.920,2.292,2022-02-28
ABRUZZO,1.656,1.709,2022-03-31
BASILICATA,412,384,2022-03-31
CALABRIA,2.704,2.684,2022-03-31
CAMPANIA,6.113,6.708,2022-03-31
EMILIA ROMAGNA,2.998,3.246,2022-03-31
FRIULI VENEZIA GIULIA,463,591,2022-03-31
LAZIO,5.231,5.582,2022-03-31
LIGURIA,1.109,1.319,2022-03-31
LOMBARDIA,6.150,7.987,2022-03-31
MARCHE,823,823,2022-03-31
MOLISE,271,320,2022-03-31
PIEMONTE,3.945,4.004,2022-03-31
PUGLIA,2.906,3.908,2022-03-31
SARDEGNA,2.575,2.017,2022-03-31
SICILIA,6.448,6.070,2022-03-31
TOSCANA,3.118,2.974,2022-03-31
TRENTINO ALTO ADIGE,498,440,2022-03-31
UMBRIA,1.336,1.402,2022-03-31
VALLE D'AOSTA,177,142,2022-03-31
VENETO,1.920,2.299,2022-03-31
ABRUZZO,1.656,1.737,2022-04-30
BASILICATA,412,378,2022-04-30
CALABRIA,2.704,2.669,2022-04-30
CAMPANIA,6.113,6.806,2022-04-30
EMILIA ROMAGNA,2.998,3.243,2022-04-30
FRIULI VENEZIA GIULIA,463,607,2022-04-30
LAZIO,5.231,5.586,2022-04-30
LIGURIA,1.109,1.321,2022-04-30
LOMBARDIA,6.150,7.962,2022-04-30
MARCHE,824,807,2022-04-30
MOLISE,271,321,2022-04-30
PIEMONTE,3.944,3.992,2022-04-30
PUGLIA,2.906,3.900,2022-04-30
SARDEGNA,2.575,2.018,2022-04-30
SICILIA,6.447,5.993,2022-04-30
TOSCANA,3.118,2.959,2022-04-30
TRENTINO ALTO ADIGE,498,426,2022-04-30
UMBRIA,1.336,1.420,2022-04-30
VALLE D'AOSTA,177,135,2022-04-30
VENETO,1.921,2.315,2022-04-30
ABRUZZO,1.658,1.812,2022-05-31
BASILICATA,412,388,2022-05-31
CALABRIA,2.704,2.766,2022-05-31
CAMPANIA,6.115,6.742,2022-05-31
EMILIA ROMAGNA,2.998,3.291,2022-05-31
FRIULI VENEZIA GIULIA,463,621,2022-05-31
LAZIO,5.231,5.653,2022-05-31
LIGURIA,1.109,1.309,2022-05-31
LOMBARDIA,6.150,7.981,2022-05-31
MARCHE,824,807,2022-05-31
MOLISE,271,331,2022-05-31
PIEMONTE,3.946,4.006,2022-05-31
PUGLIA,2.906,3.829,2022-05-31
SARDEGNA,2.575,2.011,2022-05-31
SICILIA,6.447,5.972,2022-05-31
TOSCANA,3.118,2.956,2022-05-31
TRENTINO ALTO ADIGE,498,427,2022-05-31
UMBRIA,1.336,1.413,2022-05-31
VALLE D'AOSTA,177,140,2022-05-31
VENETO,1.921,2.316,2022-05-31
ABRUZZO,1.659,1.824,2022-06-30
BASILICATA,420,397,2022-06-30
CALABRIA,2.704,2.774,2022-06-30
CAMPANIA,6.124,6.726,2022-06-30
EMILIA ROMAGNA,3.007,3.315,2022-06-30
FRIULI VENEZIA GIULIA,463,598,2022-06-30
LAZIO,5.231,5.667,2022-06-30
LIGURIA,1.133,1.323,2022-06-30
LOMBARDIA,6.150,7.962,2022-06-30
MARCHE,824,808,2022-06-30
MOLISE,271,346,2022-06-30
PIEMONTE,3.944,4.015,2022-06-30
PUGLIA,2.896,3.817,2022-06-30
SARDEGNA,2.575,2.004,2022-06-30
SICILIA,6.447,5.955,2022-06-30
TOSCANA,3.118,2.994,2022-06-30
TRENTINO ALTO ADIGE,498,426,2022-06-30
UMBRIA,1.336,1.406,2022-06-30
VALLE D'AOSTA,177,139,2022-06-30
VENETO,1.923,2.345,2022-06-30
ABRUZZO,1.659,1.842,2022-07-31
BASILICATA,420,405,2022-07-31
CALABRIA,2.704,2.759,2022-07-31
CAMPANIA,6.125,6.665,2022-07-31
EMILIA ROMAGNA,3.010,3.321,2022-07-31
FRIULI VENEZIA GIULIA,463,585,2022-07-31
LAZIO,5.234,5.755,2022-07-31
LIGURIA,1.133,1.372,2022-07-31
LOMBARDIA,6.150,7.996,2022-07-31
MARCHE,823,802,2022-07-31
MOLISE,271,332,2022-07-31
PIEMONTE,3.947,4.019,2022-07-31
PUGLIA,2.896,3.848,2022-07-31
SARDEGNA,2.575,2.036,2022-07-31
SICILIA,6.447,5.941,2022-07-31
TOSCANA,3.118,3.005,2022-07-31
TRENTINO ALTO ADIGE,498,423,2022-07-31
UMBRIA,1.336,1.376,2022-07-31
VALLE D'AOSTA,177,129,2022-07-31
VENETO,1.923,2.368,2022-07-31
ABRUZZO,1.659,1.848,2022-08-31
BASILICATA,420,404,2022-08-31
CALABRIA,2.701,2.805,2022-08-31
CAMPANIA,6.131,6.694,2022-08-31
EMILIA ROMAGNA,3.010,3.388,2022-08-31
FRIULI VENEZIA GIULIA,463,599,2022-08-31
LAZIO,5.234,5.825,2022-08-31
LIGURIA,1.133,1.408,2022-08-31
LOMBARDIA,6.150,8.141,2022-08-31
MARCHE,822,803,2022-08-31
MOLISE,271,330,2022-08-31
PIEMONTE,3.943,4.096,2022-08-31
PUGLIA,2.896,3.887,2022-08-31
SARDEGNA,2.590,2.069,2022-08-31
SICILIA,6.447,5.981,2022-08-31
TOSCANA,3.118,3.037,2022-08-31
TRENTINO ALTO ADIGE,498,438,2022-08-31
UMBRIA,1.336,1.370,2022-08-31
VALLE D'AOSTA,177,110,2022-08-31
VENETO,1.923,2.404,2022-08-31
ABRUZZO,1.659,1.833,2022-09-30
BASILICATA,420,403,2022-09-30
CALABRIA,2.701,2.897,2022-09-30
CAMPANIA,6.132,6.658,2022-09-30
EMILIA ROMAGNA,3.013,3.379,2022-09-30
FRIULI VENEZIA GIULIA,463,590,2022-09-30
LAZIO,5.242,5.924,2022-09-30
LIGURIA,1.133,1.382,2022-09-30
LOMBARDIA,6.150,8.115,2022-09-30
MARCHE,822,815,2022-09-30
MOLISE,271,334,2022-09-30
PIEMONTE,3.943,4.125,2022-09-30
PUGLIA,2.896,3.902,2022-09-30
SARDEGNA,2.590,2.066,2022-09-30
SICILIA,6.454,6.018,2022-09-30
TOSCANA,3.118,2.999,2022-09-30
TRENTINO ALTO ADIGE,498,459,2022-09-30
UMBRIA,1.338,1.371,2022-09-30
VALLE D'AOSTA,177,107,2022-09-30
VENETO,1.922,2.458,2022-09-30
ABRUZZO,1.659,1.849,2022-10-31
BASILICATA,427,416,2022-10-31
CALABRIA,2.726,2.876,2022-10-31
CAMPANIA,6.220,6.705,2022-10-31
EMILIA ROMAGNA,3.013,3.365,2022-10-31
FRIULI VENEZIA GIULIA,463,611,2022-10-31
LAZIO,5.242,5.938,2022-10-31
LIGURIA,1.131,1.372,2022-10-31
LOMBARDIA,6.161,8.150,2022-10-31
MARCHE,828,838,2022-10-31
MOLISE,271,350,2022-10-31
PIEMONTE,3.965,4.147,2022-10-31
PUGLIA,2.895,3.974,2022-10-31
SARDEGNA,2.614,2.081,2022-10-31
SICILIA,6.500,6.072,2022-10-31
TOSCANA,3.122,3.054,2022-10-31
TRENTINO ALTO ADIGE,498,444,2022-10-31
UMBRIA,1.340,1.387,2022-10-31
VALLE D'AOSTA,177,109,2022-10-31
VENETO,1.922,2.487,2022-10-31
ABRUZZO,1.659,1.879,2022-11-30
BASILICATA,437,413,2022-11-30
CALABRIA,2.726,2.868,2022-11-30
CAMPANIA,6.215,6.783,2022-11-30
EMILIA ROMAGNA,3.011,3.390,2022-11-30
FRIULI VENEZIA GIULIA,471,598,2022-11-30
LAZIO,5.242,5.986,2022-11-30
LIGURIA,1.126,1.365,2022-11-30
LOMBARDIA,6.174,8.247,2022-11-30
MARCHE,828,864,2022-11-30
MOLISE,271,339,2022-11-30
PIEMONTE,3.998,4.125,2022-11-30
PUGLIA,2.912,4.010,2022-11-30
SARDEGNA,2.614,2.079,2022-11-30
SICILIA,6.500,6.098,2022-11-30
TOSCANA,3.169,3.007,2022-11-30
TRENTINO ALTO ADIGE,507,465,2022-11-30
UMBRIA,1.342,1.405,2022-11-30
VALLE D'AOSTA,181,101,2022-11-30
VENETO,1.950,2.502,2022-11-30
ABRUZZO,1.666,1.875,2022-12-31
BASILICATA,356,406,2022-12-31
CALABRIA,2.726,2.928,2022-12-31
CAMPANIA,6.218,6.756,2022-12-31
EMILIA ROMAGNA,3.020,3.407,2022-12-31
FRIULI VENEZIA GIULIA,471,572,2022-12-31
LAZIO,5.290,5.933,2022-12-31
LIGURIA,1.126,1.347,2022-12-31
LOMBARDIA,6.173,8.147,2022-12-31
MARCHE,838,855,2022-12-31
MOLISE,273,328,2022-12-31
PIEMONTE,4.000,4.060,2022-12-31
PUGLIA,2.912,3.952,2022-12-31
SARDEGNA,2.614,2.076,2022-12-31
SICILIA,6.500,6.130,2022-12-31
TOSCANA,3.169,2.963,2022-12-31
TRENTINO ALTO ADIGE,507,449,2022-12-31
UMBRIA,1.338,1.423,2022-12-31
VALLE D'AOSTA,181,102,2022-12-31
VENETO,1.950,2.487,2022-12-31
ABRUZZO,1.666,1.870,2023-01-31
BASILICATA,378,429,2023-01-31
CALABRIA,2.726,2.965,2023-01-31
CAMPANIA,6.229,6.704,2023-01-31
EMILIA ROMAGNA,2.984,3.428,2023-01-31
FRIULI VENEZIA GIULIA,477,561,2023-01-31
LAZIO,5.290,5.971,2023-01-31
LIGURIA,1.126,1.358,2023-01-31
LOMBARDIA,6.161,8.109,2023-01-31
MARCHE,838,860,2023-01-31
MOLISE,273,317,2023-01-31
PIEMONTE,4.000,4.026,2023-01-31
PUGLIA,2.912,3.964,2023-01-31
SARDEGNA,2.614,2.068,2023-01-31
SICILIA,6.500,6.095,2023-01-31
TOSCANA,3.169,2.949,2023-01-31
TRENTINO ALTO ADIGE,507,445,2023-01-31
UMBRIA,1.342,1.415,2023-01-31
VALLE D'AOSTA,181,117,2023-01-31
VENETO,2.030,2.476,2023-01-31
ABRUZZO,1.653,1.898,2023-02-28
BASILICATA,378,417,2023-02-28
CALABRIA,2.726,3.012,2023-02-28
CAMPANIA,6.203,6.768,2023-02-28
EMILIA ROMAGNA,2.984,3.417,2023-02-28
FRIULI VENEZIA GIULIA,476,579,2023-02-28
LAZIO,5.295,5.965,2023-02-28
LIGURIA,1.126,1.367,2023-02-28
LOMBARDIA,6.161,8.100,2023-02-28
MARCHE,835,851,2023-02-28
MOLISE,275,319,2023-02-28
PIEMONTE,4.000,4.027,2023-02-28
PUGLIA,2.912,3.956,2023-02-28
SARDEGNA,2.614,2.071,2023-02-28
SICILIA,6.498,6.139,2023-02-28
TOSCANA,3.169,2.976,2023-02-28
TRENTINO ALTO ADIGE,507,444,2023-02-28
UMBRIA,1.342,1.414,2023-02-28
VALLE D'AOSTA,181,122,2023-02-28
VENETO,1.950,2.477,2023-02-28
ABRUZZO,1.654,1.885,2023-03-31
BASILICATA,378,424,2023-03-31
CALABRIA,2.726,3.014,2023-03-31
CAMPANIA,6.196,6.810,2023-03-31
EMILIA ROMAGNA,2.983,3.423,2023-03-31
FRIULI VENEZIA GIULIA,476,584,2023-03-31
LAZIO,5.295,6.025,2023-03-31
