Regione,Capienza regolamentare,Detenuti presenti (totale),Data
CALABRIA,2.734,2.698,2018-08-31
CAMPANIA,6.161,7.477,2018-08-31
EMILIA ROMAGNA,2.806,3.576,2018-08-31
FRIULI VENEZIA GIULIA,480,629,2018-08-31
LAZIO,5.270,6.400,2018-08-31
LIGURIA,1.128,1.489,2018-08-31
LOMBARDIA,6.226,8.440,2018-08-31
MARCHE,898,940,2018-08-31
MOLISE,270,393,2018-08-31
PIEMONTE,3.976,4.445,2018-08-31
PUGLIA,2.322,3.611,2018-08-31
SARDEGNA,2.713,2.257,2018-08-31
SICILIA,6.475,6.400,2018-08-31
TOSCANA,3.146,3.386,2018-08-31
TRENTINO ALTO ADIGE,506,430,2018-08-31
UMBRIA,1.331,1.400,2018-08-31
VALLE D'AOSTA,181,229,2018-08-31
VENETO,1.946,2.405,2018-08-31
ABRUZZO,1.640,1.950,2018-09-30
BASILICATA,413,564,2018-09-30
CALABRIA,2.734,2.752,2018-09-30
CAMPANIA,6.163,7.515,2018-09-30
EMILIA ROMAGNA,2.805,3.584,2018-09-30
FRIULI VENEZIA GIULIA,480,635,2018-09-30
LAZIO,5.270,6.375,2018-09-30
LIGURIA,1.128,1.481,2018-09-30
LOMBARDIA,6.226,8.439,2018-09-30
MARCHE,897,938,2018-09-30
MOLISE,270,408,2018-09-30
PIEMONTE,3.976,4.432,2018-09-30
PUGLIA,2.322,3.689,2018-09-30
SARDEGNA,2.700,2.216,2018-09-30
SICILIA,6.485,6.413,2018-09-30
TOSCANA,3.146,3.432,2018-09-30
TRENTINO ALTO ADIGE,506,417,2018-09-30
UMBRIA,1.334,1.409,2018-09-30
VALLE D'AOSTA,181,223,2018-09-30
VENETO,1.946,2.403,2018-09-30
ABRUZZO,1.640,1.950,2018-10-31
BASILICATA,413,560,2018-10-31
CALABRIA,2.734,2.787,2018-10-31
CAMPANIA,6.142,7.627,2018-10-31
EMILIA ROMAGNA,2.805,3.645,2018-10-31
FRIULI VENEZIA GIULIA,480,625,2018-10-31
LAZIO,5.270,6.492,2018-10-31
LIGURIA,1.128,1.508,2018-10-31
LOMBARDIA,6.223,8.507,2018-10-31
MARCHE,897,934,2018-10-31
MOLISE,270,385,2018-10-31
PIEMONTE,3.976,4.455,2018-10-31
PUGLIA,2.322,3.732,2018-10-31
SARDEGNA,2.700,2.212,2018-10-31
SICILIA,6.503,6.512,2018-10-31
TOSCANA,3.146,3.372,2018-10-31
TRENTINO ALTO ADIGE,506,441,2018-10-31
UMBRIA,1.334,1.432,2018-10-31
VALLE D'AOSTA,181,223,2018-10-31
VENETO,1.946,2.404,2018-10-31
ABRUZZO,1.640,1.974,2018-11-30
BASILICATA,413,560,2018-11-30
CALABRIA,2.734,2.822,2018-11-30
CAMPANIA,6.142,7.699,2018-11-30
EMILIA ROMAGNA,2.805,3.569,2018-11-30
FRIULI VENEZIA GIULIA,480,630,2018-11-30
LAZIO,5.259,6.517,2018-11-30
LIGURIA,1.128,1.512,2018-11-30
LOMBARDIA,6.223,8.546,2018-11-30
MARCHE,897,949,2018-11-30
MOLISE,270,381,2018-11-30
PIEMONTE,3.976,4.483,2018-11-30
PUGLIA,2.322,3.731,2018-11-30
SARDEGNA,2.706,2.204,2018-11-30
SICILIA,6.499,6.538,2018-11-30
TOSCANA,3.146,3.406,2018-11-30
TRENTINO ALTO ADIGE,506,455,2018-11-30
UMBRIA,1.334,1.400,2018-11-30
VALLE D'AOSTA,181,223,2018-11-30
VENETO,1.922,2.403,2018-11-30
ABRUZZO,1.640,1.973,2018-12-31
BASILICATA,413,559,2018-12-31
CALABRIA,2.734,2.805,2018-12-31
CAMPANIA,6.142,7.660,2018-12-31
EMILIA ROMAGNA,2.805,3.554,2018-12-31
FRIULI VENEZIA GIULIA,480,641,2018-12-31
